Word,Number of reported results,Number in hard mode,t1,t2,t3,t4,t5,t6,t7,mu,sigma,vowel,overlap,freq,initentropy,ratio,difficulty,mu_zscore,score_zscore,y1,y2,y3
elope,39228,3339,0,4,22,32,26,13,2,4.24,1.275377778,3,1,74984,3.232208589,0.085117773,2,0.107267704,-0.418082769,-0.278663726,2.00170722,-1.276937853
power,39813,3401,2,6,19,29,24,15,4,4.25,1.744318182,2,0,226596368,3.300088454,0.085424359,3,0.132177881,0.925150432,1.195076465,1.356054203,2.595698888
midge,36769,3111,0,2,18,39,28,10,2,4.28,1.02870303,2,0,308737,3.12471322,0.084609318,2,0.206908414,-0.760678607,0.448219229,-0.121984505,-0.356418488
tryst,43099,3665,0,3,26,41,23,6,1,4.06,0.945858586,0,1,205722,3.008587598,0.085036776,2,-0.341115496,-0.958698957,-1.866011824,-1.841387969,0.869480731
aphid,39086,3367,0,6,24,36,23,9,2,4.11,1.25040404,2,0,295138,2.983258322,0.086143376,2,-0.216564607,-0.427768888,0.193966924,-0.127774645,-0.322744336
trite,42237,3685,0,4,14,22,22,23,15,4.91,1.981717172,2,1,287494,3.512142527,0.08724578,4,1.776249612,2.579998089,-0.170387274,0.736061705,-0.644065349
angry,39667,3358,0,5,27,38,21,7,1,3.97,1.062112121,1,0,9267505,3.232293511,0.084654751,2,-0.565307095,-0.765392079,0.263421735,-1.337722676,0.433427781
flock,42574,3548,0,4,22,37,27,9,1,4.18,1.078383838,1,0,2585098,2.781144968,0.083337248,2,-0.042193363,-0.794845203,-0.560141396,-1.399346099,0.452982929
wacky,39611,3345,0,3,18,39,27,10,2,4.25,1.077651515,1,0,1861879,2.624174643,0.08444624,2,0.132177881,-0.692894935,-0.843632104,-1.410374477,0.480981128
roomy,38769,3280,0,2,17,41,28,10,2,4.33,1.011212121,2,1,574188,2.752079795,0.084603678,2,0.331459303,-0.773438985,-1.535844575,0.707288859,-0.458367882
wedge,39234,3353,0,2,11,32,37,17,2,4.66,1.052076768,2,1,3162851,2.661945774,0.085461589,3,1.153495168,-0.5016565,-1.692897587,0.720483207,-0.402544816
liver,40549,3388,0,4,16,26,25,20,8,4.61,1.68220101,2,0,12139363,3.374030341,0.083553232,3,1.02894428,1.034507543,0.918866553,-0.035030769,-0.259551914
bland,46246,3727,0,7,31,38,18,4,0,3.73,0.907921212,1,0,1606490,3.26892202,0.080590754,2,-1.163151361,-0.9133312,0.314637206,-1.386046247,0.323296035
night,46910,3870,1,8,27,27,17,13,7,4.18,1.987474747,1,0,130531484,3.003442443,0.082498401,3,-0.042193363,1.336103999,0.083449025,-0.558677656,2.092683646
madam,40545,3430,0,3,13,35,34,14,2,4.53,1.105362626,2,2,2023575,2.195565537,0.084597361,2,0.829662858,-0.54605424,-2.533261382,0.694278631,-0.306001227
berth,41785,3494,0,7,24,35,24,9,1,4.07,1.217272727,1,0,1056010,3.399568444,0.083618523,2,-0.316205318,-0.555448675,0.548388203,-1.384358536,0.284745127
stead,47094,3933,1,6,20,27,28,16,3,4.38,1.623680808,2,0,724786,3.600942518,0.083513823,3,0.456010192,0.439368105,1.304904373,-0.10008423,-0.464888497
voice,42806,3484,1,5,24,35,25,9,1,4.09,1.234242424,3,0,64600528,3.331793861,0.081390459,2,-0.266384962,-0.320525754,1.338266847,1.582598007,-0.252368496
agape,43407,3671,0,2,18,36,27,15,3,4.48,1.222529293,3,1,414471,2.980208606,0.084571613,3,0.705111969,-0.323149882,-0.730916937,1.993756462,-1.21213539
fluff,47344,4049,0,0,4,25,44,23,4,4.98,0.807676768,1,3,814535,1.778469987,0.085522981,3,1.950620856,-0.048041111,-4.995279782,0.233864524,0.28023758
field,44578,3604,1,6,25,36,23,9,1,4.08,1.272791919,2,0,135289140,3.226777762,0.080847055,2,-0.29129514,-0.236101675,0.8891421,0.759561831,1.405126809
sever,42645,3591,0,2,13,27,29,21,7,4.71,1.418241414,2,1,686306,3.100022571,0.084206824,3,1.278046057,0.694387629,-0.910299033,0.722042496,-0.540156779
lilac,40486,3461,0,2,17,38,29,12,1,4.31,0.998120202,2,1,1738684,2.968288406,0.085486341,2,0.281638948,-0.890851235,-1.145047521,0.7235735,-0.49470476
egret,41765,3515,0,3,14,33,33,15,2,4.49,1.141313131,2,1,394773,3.213371618,0.084161379,2,0.730022147,-0.494959433,-0.707141355,0.724716257,-0.571141727
pinto,47248,3792,0,5,25,41,22,6,1,4.02,1.00969697,2,0,1108872,3.293857899,0.080257365,2,-0.440756207,-0.834509642,0.753736721,-0.109965418,-0.386312646
hutch,44212,3758,0,1,12,28,28,21,9,4.79,1.410564646,1,1,1373107,2.516207449,0.084999548,3,1.477327479,1.012797572,-2.353469743,-0.575335773,0.30571037
gawky,45645,3957,0,1,5,22,33,28,10,5.08,1.187410101,1,0,31136,2.52718015,0.086690766,3,2.199722633,1.443468927,-1.021445431,-1.426184754,0.479971413
droll,47312,3844,0,2,16,31,31,17,3,4.54,1.220606061,1,1,196087,3.066920368,0.081247886,3,0.854573036,-0.247920549,-1.365959681,-0.560788878,0.158335918
retro,47986,3848,0,6,24,35,24,9,1,4.05,1.175227273,2,1,8000179,3.300042011,0.080190055,2,-0.366025673,-0.635139452,-0.536866962,0.777648257,-0.491254615
rusty,50450,3954,0,9,37,34,13,5,1,3.67,1.077182828,1,0,2780895,3.274163839,0.078374628,1,-1.312612427,-0.430567053,0.326298243,-1.378200809,0.337580479
beady,46089,3670,0,3,19,39,29,10,1,4.31,1.029960606,2,0,87974,3.225001753,0.079628545,2,0.281638948,-0.859810881,0.628039219,-0.119377149,-0.383341311
smite,50617,3991,0,6,23,35,24,11,2,4.21,1.31630404,2,0,270393,3.622449649,0.078847028,2,0.03253717,-0.343926225,1.342690735,-0.10217108,-0.476047981
brink,53111,4118,0,4,22,41,24,7,1,4.07,0.989344444,1,0,1484879,3.030620563,0.077535727,2,-0.316205318,-0.910000077,-0.113876259,-1.396442188,0.378719115
awful,47645,3861,0,5,21,33,27,12,2,4.26,1.285252525,2,0,5217370,2.75737023,0.081036835,2,0.157088059,-0.394749176,-0.202615243,-0.10488302,-0.203555296
gloat,53342,4194,0,8,21,31,26,12,2,4.19,1.428181818,2,0,113594,3.562640528,0.078624723,2,-0.017283185,-0.178108706,1.234901142,-0.105601119,-0.463808659
input,50484,3950,0,5,30,38,21,6,1,4,1.050505051,2,0,57191675,3.088138162,0.078242612,2,-0.490576562,-0.745778211,0.490996016,0.246305496,0.404972672
loser,55359,4399,1,10,28,32,19,8,2,3.9,1.464646465,2,0,2529180,3.787753784,0.079463141,1,-0.739678339,0.24761266,1.644088442,-0.080824913,-0.485723063
cacao,47205,4101,0,1,9,27,36,23,4,4.83,1.092020202,3,2,331714,2.527767626,0.08687639,3,1.57696819,0.063343249,-1.544213318,1.974981588,-1.104948685
blown,54665,4251,0,6,23,35,26,10,1,4.18,1.214468687,1,0,4229918,2.890788307,0.077764566,2,-0.042193363,-0.58436884,-0.359949908,-1.384234556,0.448505413
apron,53430,4112,0,7,30,38,19,5,1,3.88,1.056161616,2,0,1617357,3.484663117,0.076960509,2,-0.789498695,-0.660452402,1.097626734,-0.098969095,-0.425249693
primo,55989,4391,0,3,22,38,25,10,2,4.23,1.128383838,2,0,912120,3.215278547,0.078426119,2,0.082357526,-0.628830987,0.612136571,-0.114411756,-0.370109718
atone,59968,4762,2,16,34,29,14,4,1,3.53,1.342525253,3,0,152901,3.85217788,0.079409018,1,-1.661354915,0.757561408,2.150573441,1.184635473,-1.229639581
donor,53802,4142,0,3,27,38,23,7,1,4.03,0.996657576,2,1,7096675,3.013205151,0.076985986,2,-0.415846029,-0.900959423,-1.054101044,0.760213308,-0.434561161
float,56684,4323,1,12,30,32,18,6,1,3.76,1.335757576,2,0,8808655,3.450665354,0.076264907,1,-1.088420828,0.127159017,1.050243271,-0.053592853,-0.321962545
goose,51958,4087,0,2,12,28,32,21,5,4.73,1.29,3,1,3739382,3.111413579,0.078659687,3,1.327866412,0.284055607,-0.48876937,2.020658443,-1.199543342
piety,55376,4324,0,4,25,41,22,7,1,4.06,1.006464646,2,0,595389,3.348262059,0.078084369,2,-0.341115496,-0.863958885,0.850533745,-0.111110371,-0.406127142
girth,60020,4665,0,6,23,33,23,12,3,4.21,1.42010101,1,0,492919,3.268882692,0.077724092,2,0.03253717,-0.102101261,0.312442267,-1.393286537,0.308571406
trait,61026,4607,0,6,22,35,24,11,2,4.18,1.300606061,2,1,1705417,3.446520961,0.075492413,2,-0.042193363,-0.36721136,-0.28561919,0.742633768,-0.609599258
flood,58991,4440,0,3,20,40,28,8,1,4.21,0.975656566,2,1,13979267,2.610151832,0.075265718,2,0.03253717,-0.943653543,-1.765349491,0.788706994,-0.247033364
gloom,58478,4548,0,2,14,35,35,13,1,4.46,0.978181818,2,1,878018,2.623536498,0.077772838,2,0.655291614,-0.854809604,-1.76628629,0.704082587,-0.423583822
depth,56738,4329,0,6,28,39,20,6,1,3.95,1.058080808,1,0,31879926,3.163955518,0.076298072,2,-0.615127451,-0.719302429,0.183738607,-1.193486493,0.748975687
froth,58263,4432,0,5,22,35,25,11,1,4.14,1.180812121,1,0,278469,3.241114534,0.07606886,2,-0.141834074,-0.649010323,0.262127535,-1.395799831,0.312379636
peach,65431,4957,1,13,38,32,13,3,0,3.52,1.01979798,2,0,3938068,3.420555515,0.075759197,1,-1.686265093,-0.031144555,0.986837921,-0.086467485,-0.379200838
showy,61278,4770,0,2,16,37,30,13,2,4.42,1.074343434,1,0,294798,2.87602814,0.077841966,2,0.555650903,-0.643234816,-0.393983929,-1.410409527,0.399971003
creak,63241,4797,0,5,21,32,25,14,3,4.31,1.407979798,2,0,124122,3.479129606,0.075852691,2,0.281638948,-0.109327405,1.084833258,-0.108898827,-0.443682877
manor,62768,4802,0,6,27,34,21,10,2,4.08,1.306666667,2,0,7084688,3.543789312,0.076503951,2,-0.29129514,-0.342010918,1.214319376,-0.061045776,-0.367060095
atoll,60969,4741,0,6,28,36,21,8,1,4,1.151515152,2,1,908471,3.189394111,0.077760829,2,-0.490576562,-0.622699389,-0.749254409,0.72708904,-0.558606329
bayou,56839,4435,0,6,17,33,29,13,2,4.32,1.310707071,3,0,1397958,2.984265797,0.078027411,2,0.306549125,-0.33414319,0.593114708,1.157745237,-1.005450339
crept,60069,4562,0,4,27,38,22,7,1,4,1.03030303,1,0,588735,3.578772581,0.075945995,2,-0.490576562,-0.833175751,0.869567088,-1.3801727,0.235673924
tiara,63846,4842,0,8,36,33,17,6,1,3.84,1.153389899,3,1,923335,3.35928562,0.075838737,2,-0.889139406,-0.440935386,-0.048659311,2.012344077,-1.296126092
asset,63188,4733,0,7,28,34,21,8,1,3.94,1.193094949,2,1,18178753,3.309554705,0.074903463,2,-0.640037628,-0.553533368,-0.500353764,0.844196927,-0.35885505
vouch,62723,4835,0,2,9,25,33,24,6,4.82,1.267955556,2,0,388963,2.763833525,0.077084961,3,1.552058012,0.575060071,-0.200209958,-0.13600928,-0.268988457
album,63380,4809,0,5,26,35,24,9,1,4.09,1.153434343,2,0,77914316,2.969164729,0.075875671,2,-0.266384962,-0.668259961,0.316704619,0.376216269,0.707634715
hinge,66431,4906,0,5,25,37,22,9,2,4.11,1.21,2,0,1758893,3.302961654,0.073851064,2,-0.216564607,-0.490819259,0.771338208,-0.105373041,-0.379890775
money,67909,4928,1,7,26,36,21,8,1,3.97,1.261717172,2,0,190205072,3.314866857,0.072567701,2,-0.565307095,-0.207181509,1.152216217,1.120090365,2.110656242
scrap,66814,4973,1,9,28,34,20,8,1,3.94,1.345086869,1,0,3757085,3.400627308,0.074430509,1,-0.640037628,-0.023661547,0.555443816,-1.366757673,0.320230565
gamer,69884,5238,1,4,17,28,26,18,6,4.52,1.686464646,2,0,3144985,3.490540836,0.074952779,3,0.80475268,0.934108257,1.111104439,-0.088801919,-0.406443823
glass,70920,5162,0,4,19,33,27,14,3,4.37,1.326363636,1,1,63559754,2.922750256,0.072786238,2,0.431100014,-0.206511862,-1.504192781,-0.154708195,1.031226319
scour,73933,5544,0,8,34,35,17,5,1,3.8,1.090909091,2,0,411478,3.429656844,0.074986812,1,-0.988780117,-0.527222433,0.996467707,-0.109025026,-0.428040565
being,70722,5142,0,4,22,37,26,10,1,4.19,1.104949495,2,0,242783091,3.154247842,0.07270722,2,-0.017283185,-0.756510774,0.963845926,1.455396545,2.844774701
delve,68349,5179,0,2,14,32,33,16,2,4.49,1.099291919,2,1,640909,2.860069633,0.075772872,2,0.730022147,-0.529671054,-1.341635196,0.712075412,-0.483330041
yield,67115,4963,0,4,16,29,29,18,4,4.53,1.423333333,2,0,15022494,3.304765369,0.073947702,3,0.829662858,0.141378865,0.799881658,-0.019081063,-0.204827184
metal,73225,5290,1,10,31,34,18,7,1,3.89,1.333880808,2,0,56181783,3.634484474,0.072243086,1,-0.764588517,0.051828887,1.470977116,0.261762788,0.260854598
tipsy,77585,5522,0,6,33,38,17,5,1,3.85,1.017676768,1,0,279464,3.20944184,0.071173552,2,-0.864229228,-0.694101988,0.205206458,-1.397070021,0.319972956
slung,75673,5419,0,2,16,37,31,13,2,4.47,1.079706061,1,0,253265,3.141332641,0.071610746,2,0.680201791,-0.63132771,0.082748883,-1.39998566,0.335926731
farce,79446,5688,0,9,26,32,21,9,1,3.9,1.298787879,2,0,727546,3.646567518,0.071595801,2,-0.739678339,-0.401005302,1.386908057,-0.098227244,-0.475771308
gecko,74412,5489,0,2,16,38,29,12,2,4.35,1.048762626,2,0,1230211,2.891948904,0.073764984,2,0.381279659,-0.700121078,0.031647053,-0.125376742,-0.288519183
shine,88932,6146,1,14,32,30,17,6,1,3.73,1.390130303,2,0,5881862,3.655047687,0.069108982,1,-1.163151361,0.310678979,1.411981254,-0.064380093,-0.409602319
canny,72518,5256,0,2,10,30,34,20,4,4.72,1.173333333,1,1,209480,2.860074937,0.072478557,3,1.302956235,0.00756748,-1.737682036,-0.569039309,0.208016981
midst,74458,5233,0,3,25,39,24,9,1,4.18,1.052852525,1,0,3381410,3.204553377,0.070281232,2,-0.042193363,-0.829877138,0.202338088,-1.377103043,0.362185816
badge,76292,5482,0,4,20,35,26,12,2,4.24,1.214771717,2,0,6145138,3.251778071,0.071855503,2,0.107267704,-0.499107438,0.687717004,-0.078923607,-0.309605205
homer,85979,6313,0,3,16,26,24,19,12,4.76,1.80040404,2,0,4281428,3.417274739,0.073424906,3,1.402596946,1.74872929,0.981596623,-0.084367735,-0.373872542
train,107750,7243,6,26,32,22,10,3,0,3.1,1.387777778,2,0,31816971,3.84750256,0.067220418,1,-2.732492558,2.688766503,1.807340132,0.111967029,-0.11250576
hairy,85817,5941,1,8,24,33,23,10,1,4.03,1.382929293,2,0,19060619,3.455681257,0.069228708,2,-0.415846029,-0.065550854,1.078814721,0.013251629,-0.187515725
story,95643,6530,1,10,23,29,24,11,2,4.06,1.592323232,1,0,138433809,3.479929422,0.06827473,1,-0.341115496,0.325659986,0.95487817,-0.488102889,2.083205461
forgo,77658,5699,0,1,9,26,37,23,3,4.77,1.039970707,2,1,340426,2.57919651,0.073385871,3,1.427507123,-0.144027315,-1.847000767,0.698800752,-0.420085096
larva,77991,5749,0,2,10,25,35,23,4,4.75,1.193813131,2,1,462298,2.835660075,0.073713634,3,1.377686768,0.143887299,-1.385845398,0.709930465,-0.479851419
zesty,88974,6315,0,2,12,27,30,22,7,4.79,1.39989899,1,0,210124,2.876697943,0.070975791,3,1.477327479,0.733251135,-0.392941666,-1.410932947,0.39869035
shown,98967,6564,0,6,26,36,22,8,1,3.99,1.142120202,1,0,68755779,3.00510098,0.066325139,2,-0.51548674,-0.657362552,-0.031414116,-0.960180217,1.274911094
heist,103153,6830,1,13,32,31,16,6,1,3.7,1.343434343,2,0,419629,3.670190788,0.066212325,1,-1.237881894,0.224343474,1.428777017,-0.099276638,-0.485499169
askew,91548,6549,0,3,13,29,32,19,4,4.63,1.306161616,2,0,473664,2.973105955,0.071536243,3,1.078764635,0.077795536,0.176061388,-0.127023367,-0.317952453
inert,97452,6743,0,7,27,34,22,9,1,4.02,1.231919192,2,0,935898,3.700744532,0.069193039,2,-0.440756207,-0.514669861,1.484673827,-0.094689106,-0.485980595
olive,95562,6482,1,6,25,34,23,10,1,4.06,1.309494949,3,0,9298184,3.331501801,0.067830309,2,-0.341115496,-0.196384896,1.232246688,1.223096533,-0.984022948
plant,119232,7731,2,19,39,28,10,3,0,3.37,1.117847475,1,0,53247607,3.59162347,0.064839976,1,-2.059917759,0.795911786,0.993115586,-1.037348744,0.929346012
oxide,97955,6960,0,2,11,30,33,21,4,4.76,1.221187879,3,0,5321340,2.928646057,0.071053035,3,1.402596946,0.069187043,0.500637768,1.181007044,-0.940227373
cargo,102007,6796,0,5,20,34,27,12,2,4.27,1.26979798,2,0,9748668,3.428134953,0.066622879,2,0.181998237,-0.412771932,1.011544236,-0.048390504,-0.304132759
foyer,108899,8198,0,2,10,19,19,23,26,5.25,1.971590909,2,0,1042532,3.297315805,0.075280765,4,2.623195654,4.63013575,0.759824807,-0.110257276,-0.388017986
flair,112383,7341,1,8,30,36,18,6,1,3.84,1.206464646,2,0,1924190,3.498243883,0.065321267,1,-0.889139406,-0.170554581,1.122619752,-0.096427134,-0.424440134
ample,106681,7008,0,4,20,35,27,11,2,4.23,1.190071717,2,0,3187842,3.433552541,0.065691173,2,0.082357526,-0.537441867,1.008765369,-0.090820404,-0.392237885
cheek,107987,7035,0,3,19,40,28,9,1,4.24,0.992323232,2,1,2681029,2.756803836,0.065146731,2,0.107267704,-0.916697143,-1.523335377,0.721174674,-0.431622138
shame,129991,8522,1,11,22,25,21,15,5,4.19,1.993838384,2,0,6785296,3.558819168,0.065558385,3,-0.017283185,1.168306814,1.240760296,-0.062386135,-0.374618516
mince,113448,7356,0,6,24,35,24,10,1,4.11,1.21,2,0,328039,3.42234217,0.064840279,2,-0.216564607,-0.584897917,0.983162418,-0.109862255,-0.42739397
chunk,123255,7835,1,4,29,42,18,5,1,3.91,1.012020202,1,0,2371231,2.733881787,0.063567401,2,-0.714768162,-0.531270091,-0.64549197,-1.402641406,0.461464573
royal,114907,7275,1,5,24,36,23,9,1,4.03,1.218879798,2,0,45407189,3.549933229,0.06331207,2,-0.415846029,-0.339077587,1.298465739,0.188315083,0.138527697
squad,109828,7236,0,3,20,33,27,14,2,4.31,1.220342424,2,0,8744772,2.743920658,0.065884838,2,0.281638948,-0.476932796,-0.220058253,-0.082495469,-0.15366417
black,126241,7894,1,10,31,34,18,6,1,3.83,1.280594949,1,0,244690155,2.991266541,0.06253119,1,-0.914049583,0.001587352,0.279336317,0.182913425,3.60607035
stair,134210,8537,2,21,36,26,11,4,1,3.42,1.374307071,2,0,2012524,3.822337011,0.063609269,1,-1.93536687,1.151077114,1.705256726,-0.082789431,-0.500835843
scare,141158,9010,1,12,23,26,21,13,4,4.09,1.900909091,2,0,2972708,3.902757918,0.063829184,1,-0.266384962,0.962046743,1.851622894,-0.073306218,-0.507378274
foray,117761,7575,0,2,14,31,31,19,4,4.67,1.271908081,2,0,499808,3.283497756,0.064325201,3,1.178405346,0.020007544,0.733955351,-0.114342198,-0.391891911
comma,117856,7560,0,2,13,33,33,17,3,4.63,1.159059596,2,1,2711522,2.65123509,0.064146077,3,1.078764635,-0.283436984,-1.713008062,0.717117644,-0.405953142
natal,121356,7702,0,2,14,32,32,17,3,4.57,1.176868687,2,1,3010028,3.175217938,0.063466166,3,0.929303569,-0.277321334,-0.77072324,0.74017868,-0.527407153
shawl,129651,7943,0,3,16,31,30,16,3,4.45,1.26209596,1,0,1011728,3.200589406,0.061264472,3,0.630381436,-0.230378412,0.19069351,-1.392666803,0.331780426
fewer,124532,7931,0,2,10,24,32,26,6,4.88,1.318787879,2,1,10792786,2.784033122,0.063686442,3,1.701519078,0.681658791,-1.458924145,0.775002237,-0.330809413
trope,155079,9315,1,16,33,28,15,6,1,3.62,1.40969697,2,0,109419,3.762310618,0.06006616,1,-1.437163316,0.4590067,1.593745375,-0.097579989,-0.511650498
snout,144648,8913,1,4,19,27,26,18,5,4.47,1.665757576,2,0,258314,3.481049904,0.06161855,3,0.680201791,0.761400856,1.088540452,-0.107949117,-0.442366917
lowly,135219,8469,0,2,9,26,32,24,8,4.95,1.366186869,1,1,543486,2.509029048,0.062631731,3,1.875890323,0.996445926,-2.367953541,-0.581018022,0.29645136
stove,158139,9318,0,5,16,24,27,21,6,4.57,1.652778788,2,0,3914849,3.352679442,0.058922846,3,0.929303569,0.749698727,0.864805011,-0.089354357,-0.363263427
shall,149070,8494,0,3,17,30,28,17,4,4.47,1.362920202,1,1,191963867,3.096484105,0.056979942,3,0.680201791,0.028086959,-0.947008986,0.686978181,2.688606004
found,173696,10613,1,6,17,22,20,21,14,4.76,2.31209697,2,0,232005894,2.932440425,0.061101004,4,1.402596946,2.853319845,0.544649278,1.376399419,2.755262572
nymph,165468,9935,1,2,18,44,26,26,9,5.84,3.820056566,0,0,697326,2.533964223,0.060041821,4,4.092896141,1.926188041,-1.403215467,-2.699891228,1.184219062
epoxy,149507,9376,0,2,13,31,33,18,3,4.61,1.16959596,2,0,1908076,2.629478011,0.062712783,3,1.02894428,-0.243720206,-0.438779253,-0.131549953,-0.216733544
depot,150197,8562,0,5,29,36,20,7,1,3.9,1.076565657,2,0,9688338,3.39755089,0.057005133,2,-0.739678339,-0.741253673,0.956462687,-0.050015453,-0.29761139
chest,169066,9318,1,14,35,31,14,5,1,3.65,1.293661616,1,0,13516414,3.437705047,0.055114571,1,-1.362432783,0.299833908,0.640697865,-1.301823194,0.440485873
purge,156785,8555,1,4,22,35,26,11,2,4.25,1.321338384,2,0,1366135,3.345377176,0.054565169,2,0.132177881,-0.120381333,0.846819242,-0.106216464,-0.395238704
slosh,160161,8807,0,2,19,36,27,13,2,4.32,1.12219798,1,1,51634,2.911015855,0.054988418,2,0.306549125,-0.614363108,-1.646430823,-0.56801206,0.19373689
their,173636,9200,2,14,36,30,13,4,0,3.47,1.160293939,2,0,782849411,3.692754498,0.052984404,1,-1.810815982,0.424090103,2.961899378,4.98777259,9.861698489
renew,154987,8417,0,4,20,33,27,13,2,4.27,1.247243434,2,1,6561081,3.07387489,0.054307781,2,0.181998237,-0.447483553,-0.94608554,0.759177176,-0.456167743
allow,156311,8515,0,5,21,32,26,14,3,4.36,1.414642424,2,1,67052567,2.774023858,0.054474733,2,0.406189836,-0.097420299,-1.369591372,1.140312251,0.415978611
saute,179830,9304,1,8,31,34,19,6,1,3.84,1.226666667,3,0,546457,3.89562641,0.051737752,1,-0.889139406,-0.145887097,2.229411003,1.188945077,-1.234830746
movie,169071,8847,1,5,18,30,26,16,3,4.32,1.526238384,3,0,158421100,3.151792306,0.052327129,3,0.306549125,0.305079982,1.193736435,2.185217759,1.032083159
cater,217856,11234,1,7,19,22,19,18,15,4.68,2.441034343,2,0,2092828,3.914004511,0.051566172,4,1.203315524,3.030964473,1.870157092,-0.078572501,-0.521711892
tease,202855,10024,1,16,32,30,16,6,1,3.72,1.432694949,3,1,2019275,3.675582116,0.049414606,1,-1.188061539,0.458153428,0.521887475,2.032217399,-1.357323868
smelt,185406,9373,0,5,19,33,28,13,2,4.31,1.286767677,1,0,301053,3.536798202,0.05055392,2,0.281638948,-0.379170804,0.793580875,-1.383734656,0.241913139
focus,179436,8937,1,4,23,36,24,10,1,4.09,1.206685859,2,0,65626732,2.885079431,0.049806059,2,-0.266384962,-0.379904858,0.142144459,0.29295224,0.565177409
today,192049,9353,1,7,29,35,20,7,1,3.91,1.234242424,2,0,239271204,3.371586797,0.048701113,2,-0.714768162,-0.204737125,1.347753753,1.441328188,2.746292467
watch,226349,12400,1,6,14,18,17,24,20,4.96,2.503434343,1,0,92006970,3.052920083,0.054782659,4,1.9008005,4.161509966,0.098881787,-0.807109704,1.571111166
lapse,208884,9960,0,8,31,34,19,7,1,3.89,1.18979798,2,0,1459542,3.765419388,0.047681967,2,-0.764588517,-0.478042933,1.601908043,-0.088678285,-0.49453057
month,201799,9435,1,5,26,37,22,8,1,4.02,1.191515152,1,0,123027963,3.16086644,0.046754444,2,-0.440756207,-0.34939358,0.352061676,-0.601108442,1.955726042
sweet,207473,9767,1,5,18,31,28,15,2,4.33,1.435454545,2,1,32311923,3.140882466,0.047076005,2,0.331459303,0.069899745,-0.776535264,0.929269972,-0.131486262
hoard,218595,9823,1,9,30,34,19,7,1,3.89,1.302243434,2,0,433375,3.492899058,0.044936984,1,-0.764588517,-0.039239919,1.110170003,-0.106333529,-0.442886456
cloth,218595,9911,1,8,33,34,17,7,1,3.86,1.262016162,1,0,9764137,3.350159226,0.045339555,1,-0.83931905,-0.072889505,0.476200395,-1.329743437,0.411790351
brine,229895,10405,1,9,25,29,22,12,3,4.13,1.680473737,2,0,816003,3.643088104,0.045259793,1,-0.166744252,0.532982092,1.380823507,-0.097792482,-0.473768183
ahead,203730,9396,1,5,20,35,26,12,2,4.27,1.373160606,3,1,28375319,3.000156452,0.046119865,2,0.181998237,-0.037019289,-0.641727786,2.176318399,-0.846949858
mourn,240018,10465,1,8,29,34,19,8,1,3.9,1.303030303,2,0,779010,3.301965549,0.043600897,1,-0.739678339,-0.091974296,0.767678749,-0.111782865,-0.392617549
nasty,257304,10813,1,7,26,31,21,11,2,4.02,1.472723232,1,0,7434847,3.39018935,0.04202422,2,-0.440756207,0.131246496,0.543700184,-1.343271325,0.371390393
rupee,240137,10577,1,2,17,35,30,13,2,4.38,1.207676768,3,1,2831536,3.220350677,0.044045691,2,0.456010192,-0.248077067,-0.294716644,2.019148061,-1.237627037
choke,251094,10521,1,8,30,36,18,6,1,3.84,1.206464646,2,0,1448146,3.160581114,0.041900643,1,-0.889139406,-0.170554581,0.514855473,-0.113132085,-0.349926758
chant,250413,10438,1,9,33,33,16,7,1,3.79,1.278686869,1,0,1374428,3.476459876,0.041683139,1,-1.013690294,-0.010368211,0.687186871,-1.379189351,0.27055597
spill,248363,10087,1,5,26,34,22,10,2,4.09,1.355454545,1,1,3890646,2.921082543,0.04061394,2,-0.266384962,-0.050682354,-1.621015379,-0.542651017,0.242122942
vivid,255907,11687,1,2,10,29,33,21,4,4.7,1.323232323,2,2,4479514,1.751581819,0.045668934,3,1.253135879,0.423036902,-3.326515314,0.692347299,-0.167248219
bloke,250674,10405,1,6,21,32,25,12,2,4.15,1.429570707,2,0,766763,3.215885722,0.041508094,2,-0.116923896,0.038262382,0.612950517,-0.115332167,-0.3721783
trove,277576,11411,1,5,16,24,25,22,8,4.68,1.915781818,2,0,702353,3.544931362,0.041109462,3,1.203315524,1.586554004,1.204196897,-0.102487743,-0.451780291
thorn,306356,11814,1,14,38,30,12,4,0,3.47,1.079485859,1,0,1421673,3.499339862,0.038562979,1,-1.810815982,0.076355895,0.728397492,-1.377959995,0.265705269
other,278731,10887,1,9,26,30,21,10,2,3.96,1.516751515,2,0,978481319,3.497396109,0.039059165,1,-0.590217273,0.235124138,2.983985515,6.251592067,12.49692629
tacit,273306,11094,1,4,21,32,26,14,3,4.35,1.471439394,2,1,594255,3.15096913,0.040591864,3,0.381279659,0.205286294,-0.81891217,0.723497669,-0.553567664
swill,282327,11241,1,1,8,19,31,30,10,5.08,1.468282828,1,1,92032,2.773053918,0.039815533,4,2.199722633,1.956603424,-1.894302485,-0.573310402,0.227289533
dodge,265238,10220,1,3,15,29,27,19,7,4.66,1.658137374,2,1,14768509,2.808520734,0.038531432,3,1.153495168,1.089273521,-1.407330257,0.801833238,-0.284065819
shake,342003,12767,1,6,16,23,24,21,9,4.62,2.015757576,2,0,6839319,3.437486784,0.037330082,3,1.053854457,1.812849055,1.022801683,-0.066925608,-0.34486551
